 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513116E+09   0.226521E+05   0.360519E+04
    2   0.513970E+09   0.226709E+05   0.360819E+04
    3   0.181809E+11   0.134837E+06   0.214599E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      1001  0.0000E+00  0.0000E+00  0.0000E+00
      1002  0.7579E-03  0.4691E-03  0.2045E-03
      1003  0.1574E-02  0.1602E-02  0.2321E-03
      1004  0.2287E-02  0.3626E-02  0.2047E-03
      1005  0.2954E-02  0.6282E-02  0.1854E-03
      1006  0.3556E-02  0.9614E-02  0.1650E-03
      1007  0.4107E-02  0.1350E-01  0.1440E-03
      1008  0.4597E-02  0.1792E-01  0.1269E-03
      1009  0.5032E-02  0.2279E-01  0.1082E-03
      1010  0.5410E-02  0.2806E-01  0.9169E-04
      1011  0.5736E-02  0.3369E-01  0.7382E-04
      1012  0.6010E-02  0.3961E-01  0.5891E-04
      1013  0.6237E-02  0.4579E-01  0.4276E-04
      1014  0.6419E-02  0.5216E-01  0.2981E-04
      1015  0.6560E-02  0.5869E-01  0.1590E-04
      1016  0.6664E-02  0.6533E-01  0.5499E-05
      1017  0.6736E-02  0.7207E-01 -0.5536E-05
      1018  0.6781E-02  0.7885E-01 -0.1280E-04
      1019  0.6806E-02  0.8566E-01 -0.2028E-04
      1020  0.6816E-02  0.9248E-01 -0.2386E-04
      1021  0.6819E-02  0.9931E-01 -0.2710E-04
      1051  0.0000E+00  0.0000E+00  0.0000E+00
      1053  0.7773E-03  0.1548E-02  0.1128E-03
      1055  0.1467E-02  0.6230E-02  0.9161E-04
      1057  0.2044E-02  0.1345E-01  0.7193E-04
      1059  0.2507E-02  0.2274E-01  0.5410E-04
      1061  0.2860E-02  0.3366E-01  0.3700E-04
      1063  0.3111E-02  0.4576E-01  0.2152E-04
      1065  0.3274E-02  0.5867E-01  0.8139E-05
      1067  0.3364E-02  0.7206E-01 -0.2527E-05
      1069  0.3401E-02  0.8566E-01 -0.9859E-05
      1071  0.3409E-02  0.9931E-01 -0.1324E-04
      1101  0.0000E+00  0.0000E+00  0.0000E+00
      1102  0.1031E-11  0.2999E-03  0.7469E-12
      1103  0.2202E-11  0.1580E-02  0.2367E-11
      1104  0.3221E-11  0.3515E-02  0.5099E-11
      1105  0.4186E-11  0.6215E-02  0.8828E-11
      1106  0.5042E-11  0.9525E-02  0.1344E-10
      1107  0.5825E-11  0.1343E-01  0.1886E-10
      1108  0.6503E-11  0.1785E-01  0.2496E-10
      1109  0.7120E-11  0.2273E-01  0.3170E-10
      1110  0.7658E-11  0.2801E-01  0.3898E-10
      1111  0.8143E-11  0.3365E-01  0.4676E-10
      1112  0.8549E-11  0.3958E-01  0.5494E-10
      1113  0.8903E-11  0.4576E-01  0.6350E-10
      1114  0.9187E-11  0.5213E-01  0.7232E-10
      1115  0.9423E-11  0.5867E-01  0.8140E-10
      1116  0.9584E-11  0.6532E-01  0.9065E-10
      1117  0.9700E-11  0.7206E-01  0.1000E-09
      1118  0.9745E-11  0.7884E-01  0.1094E-09
      1119  0.9761E-11  0.8566E-01  0.1189E-09
      1120  0.9764E-11  0.9248E-01  0.1283E-09
      1121  0.9764E-11  0.9931E-01  0.1377E-09
      1151  0.0000E+00  0.0000E+00  0.0000E+00
      1153 -0.7773E-03  0.1548E-02 -0.1128E-03
      1155 -0.1467E-02  0.6230E-02 -0.9161E-04
      1157 -0.2044E-02  0.1345E-01 -0.7193E-04
      1159 -0.2507E-02  0.2274E-01 -0.5410E-04
      1161 -0.2860E-02  0.3366E-01 -0.3700E-04
      1163 -0.3111E-02  0.4576E-01 -0.2152E-04
      1165 -0.3274E-02  0.5867E-01 -0.8139E-05
      1167 -0.3364E-02  0.7206E-01  0.2527E-05
      1169 -0.3401E-02  0.8566E-01  0.9859E-05
      1171 -0.3409E-02  0.9931E-01  0.1324E-04
      1201  0.0000E+00  0.0000E+00  0.0000E+00
      1202 -0.7579E-03  0.4691E-03 -0.2045E-03
      1203 -0.1574E-02  0.1602E-02 -0.2321E-03
      1204 -0.2287E-02  0.3626E-02 -0.2047E-03
      1205 -0.2954E-02  0.6282E-02 -0.1854E-03
      1206 -0.3556E-02  0.9614E-02 -0.1650E-03
      1207 -0.4107E-02  0.1350E-01 -0.1440E-03
      1208 -0.4597E-02  0.1792E-01 -0.1269E-03
      1209 -0.5032E-02  0.2279E-01 -0.1082E-03
      1210 -0.5410E-02  0.2806E-01 -0.9169E-04
      1211 -0.5736E-02  0.3369E-01 -0.7382E-04
      1212 -0.6010E-02  0.3961E-01 -0.5891E-04
      1213 -0.6237E-02  0.4579E-01 -0.4276E-04
      1214 -0.6419E-02  0.5216E-01 -0.2981E-04
      1215 -0.6560E-02  0.5869E-01 -0.1590E-04
      1216 -0.6664E-02  0.6533E-01 -0.5498E-05
      1217 -0.6736E-02  0.7207E-01  0.5536E-05
      1218 -0.6781E-02  0.7885E-01  0.1280E-04
      1219 -0.6806E-02  0.8566E-01  0.2028E-04
      1220 -0.6816E-02  0.9248E-01  0.2386E-04
      1221 -0.6819E-02  0.9931E-01  0.2710E-04
      2001  0.0000E+00  0.0000E+00  0.0000E+00
      2002  0.7531E-03  0.5274E-03  0.9651E-04
      2003  0.1561E-02  0.1715E-02  0.1115E-03
      2004  0.2290E-02  0.3701E-02  0.9973E-04
      2005  0.2958E-02  0.6360E-02  0.8713E-04
      2006  0.3561E-02  0.9676E-02  0.7735E-04
      2007  0.4111E-02  0.1356E-01  0.6626E-04
      2008  0.4601E-02  0.1796E-01  0.5767E-04
      2009  0.5035E-02  0.2283E-01  0.4726E-04
      2010  0.5414E-02  0.2810E-01  0.3881E-04
      2011  0.5740E-02  0.3372E-01  0.2909E-04
      2012  0.6014E-02  0.3963E-01  0.2136E-04
      2013  0.6240E-02  0.4580E-01  0.1251E-04
      2014  0.6422E-02  0.5217E-01  0.5712E-05
      2015  0.6563E-02  0.5869E-01 -0.1971E-05
      2016  0.6666E-02  0.6533E-01 -0.7547E-05
      2017  0.6738E-02  0.7206E-01 -0.1374E-04
      2018  0.6783E-02  0.7884E-01 -0.1781E-04
      2019  0.6807E-02  0.8565E-01 -0.2219E-04
      2020  0.6817E-02  0.9247E-01 -0.2448E-04
      2021  0.6819E-02  0.9930E-01 -0.2641E-04
      2101  0.0000E+00  0.0000E+00  0.0000E+00
      2102  0.5226E-12  0.3730E-03  0.6145E-12
      2103  0.1093E-11  0.1634E-02  0.2242E-11
      2104  0.1621E-11  0.3589E-02  0.4989E-11
      2105  0.2111E-11  0.6275E-02  0.8722E-11
      2106  0.2552E-11  0.9587E-02  0.1334E-10
      2107  0.2952E-11  0.1348E-01  0.1878E-10
      2108  0.3304E-11  0.1789E-01  0.2489E-10
      2109  0.3621E-11  0.2277E-01  0.3163E-10
      2110  0.3905E-11  0.2804E-01  0.3892E-10
      2111  0.4157E-11  0.3367E-01  0.4670E-10
      2112  0.4375E-11  0.3960E-01  0.5490E-10
      2113  0.4562E-11  0.4577E-01  0.6346E-10
      2114  0.4720E-11  0.5214E-01  0.7230E-10
      2115  0.4845E-11  0.5867E-01  0.8138E-10
      2116  0.4938E-11  0.6532E-01  0.9063E-10
      2117  0.5003E-11  0.7205E-01  0.1000E-09
      2118  0.5036E-11  0.7883E-01  0.1094E-09
      2119  0.5051E-11  0.8565E-01  0.1189E-09
      2120  0.5054E-11  0.9247E-01  0.1283E-09
