 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
      2121  0.5057E-11  0.9929E-01  0.1377E-09
      2201  0.0000E+00  0.0000E+00  0.0000E+00
      2202 -0.7531E-03  0.5274E-03 -0.9651E-04
      2203 -0.1561E-02  0.1715E-02 -0.1115E-03
      2204 -0.2290E-02  0.3701E-02 -0.9973E-04
      2205 -0.2958E-02  0.6360E-02 -0.8713E-04
      2206 -0.3561E-02  0.9676E-02 -0.7734E-04
      2207 -0.4111E-02  0.1356E-01 -0.6626E-04
      2208 -0.4601E-02  0.1796E-01 -0.5767E-04
      2209 -0.5035E-02  0.2283E-01 -0.4726E-04
      2210 -0.5414E-02  0.2810E-01 -0.3881E-04
      2211 -0.5740E-02  0.3372E-01 -0.2909E-04
      2212 -0.6014E-02  0.3963E-01 -0.2136E-04
      2213 -0.6240E-02  0.4580E-01 -0.1251E-04
      2214 -0.6422E-02  0.5217E-01 -0.5712E-05
      2215 -0.6563E-02  0.5869E-01  0.1971E-05
      2216 -0.6666E-02  0.6533E-01  0.7548E-05
      2217 -0.6738E-02  0.7206E-01  0.1374E-04
      2218 -0.6783E-02  0.7884E-01  0.1781E-04
      2219 -0.6807E-02  0.8565E-01  0.2219E-04
      2220 -0.6817E-02  0.9247E-01  0.2448E-04
      2221 -0.6819E-02  0.9930E-01  0.2641E-04
      3001  0.0000E+00  0.0000E+00  0.0000E+00
      3002  0.7520E-03  0.5449E-03 -0.3089E-05
      3003  0.1565E-02  0.1732E-02 -0.8041E-05
      3004  0.2288E-02  0.3725E-02 -0.5361E-05
      3005  0.2956E-02  0.6380E-02 -0.8930E-05
      3006  0.3561E-02  0.9692E-02 -0.9589E-05
      3007  0.4110E-02  0.1357E-01 -0.1122E-04
      3008  0.4601E-02  0.1797E-01 -0.1177E-04
      3009  0.5035E-02  0.2284E-01 -0.1336E-04
      3010  0.5413E-02  0.2810E-01 -0.1398E-04
      3011  0.5739E-02  0.3372E-01 -0.1549E-04
      3012  0.6014E-02  0.3963E-01 -0.1616E-04
      3013  0.6240E-02  0.4580E-01 -0.1763E-04
      3014  0.6422E-02  0.5216E-01 -0.1836E-04
      3015  0.6562E-02  0.5869E-01 -0.1978E-04
      3016  0.6666E-02  0.6533E-01 -0.2058E-04
      3017  0.6738E-02  0.7205E-01 -0.2192E-04
      3018  0.6783E-02  0.7883E-01 -0.2282E-04
      3019  0.6807E-02  0.8564E-01 -0.2413E-04
      3020  0.6817E-02  0.9246E-01 -0.2525E-04
      3021  0.6819E-02  0.9928E-01 -0.2582E-04
      3051  0.0000E+00  0.0000E+00  0.0000E+00
      3053  0.7729E-03  0.1664E-02 -0.5054E-05
      3055  0.1470E-02  0.6316E-02 -0.4439E-05
      3057  0.2047E-02  0.1351E-01 -0.5702E-05
      3059  0.2510E-02  0.2279E-01 -0.6666E-05
      3061  0.2863E-02  0.3369E-01 -0.7758E-05
      3063  0.3114E-02  0.4578E-01 -0.8822E-05
      3065  0.3276E-02  0.5867E-01 -0.9897E-05
      3067  0.3365E-02  0.7205E-01 -0.1097E-04
      3069  0.3402E-02  0.8564E-01 -0.1208E-04
      3071  0.3409E-02  0.9928E-01 -0.1276E-04
      3101  0.0000E+00  0.0000E+00  0.0000E+00
      3102  0.2686E-13  0.3925E-03  0.5705E-12
      3103  0.8025E-14  0.1672E-02  0.2210E-11
      3104  0.4465E-13  0.3614E-02  0.4952E-11
      3105  0.6499E-13  0.6296E-02  0.8685E-11
      3106  0.8469E-13  0.9604E-02  0.1332E-10
      3107  0.1042E-12  0.1350E-01  0.1875E-10
      3108  0.1244E-12  0.1790E-01  0.2486E-10
      3109  0.1432E-12  0.2278E-01  0.3160E-10
      3110  0.1675E-12  0.2805E-01  0.3890E-10
      3111  0.1919E-12  0.3368E-01  0.4668E-10
      3112  0.2174E-12  0.3960E-01  0.5488E-10
      3113  0.2395E-12  0.4577E-01  0.6344E-10
      3114  0.2648E-12  0.5214E-01  0.7228E-10
      3115  0.2845E-12  0.5867E-01  0.8137E-10
      3116  0.3043E-12  0.6531E-01  0.9063E-10
      3117  0.3222E-12  0.7204E-01  0.1000E-09
      3118  0.3361E-12  0.7882E-01  0.1094E-09
      3119  0.3460E-12  0.8564E-01  0.1189E-09
      3120  0.3491E-12  0.9246E-01  0.1283E-09
      3121  0.3482E-12  0.9928E-01  0.1377E-09
      3151  0.0000E+00  0.0000E+00  0.0000E+00
      3153 -0.7729E-03  0.1664E-02  0.5054E-05
      3155 -0.1470E-02  0.6316E-02  0.4439E-05
      3157 -0.2047E-02  0.1351E-01  0.5702E-05
      3159 -0.2510E-02  0.2279E-01  0.6666E-05
      3161 -0.2863E-02  0.3369E-01  0.7758E-05
      3163 -0.3114E-02  0.4578E-01  0.8822E-05
      3165 -0.3276E-02  0.5867E-01  0.9897E-05
      3167 -0.3365E-02  0.7205E-01  0.1097E-04
      3169 -0.3402E-02  0.8564E-01  0.1208E-04
      3171 -0.3409E-02  0.9928E-01  0.1276E-04
      3201  0.0000E+00  0.0000E+00  0.0000E+00
      3202 -0.7520E-03  0.5449E-03  0.3089E-05
      3203 -0.1565E-02  0.1732E-02  0.8041E-05
      3204 -0.2288E-02  0.3725E-02  0.5361E-05
      3205 -0.2956E-02  0.6380E-02  0.8930E-05
      3206 -0.3561E-02  0.9692E-02  0.9589E-05
      3207 -0.4110E-02  0.1357E-01  0.1122E-04
      3208 -0.4601E-02  0.1797E-01  0.1177E-04
      3209 -0.5035E-02  0.2284E-01  0.1336E-04
      3210 -0.5413E-02  0.2810E-01  0.1398E-04
      3211 -0.5739E-02  0.3372E-01  0.1549E-04
      3212 -0.6014E-02  0.3963E-01  0.1616E-04
      3213 -0.6240E-02  0.4580E-01  0.1763E-04
      3214 -0.6422E-02  0.5216E-01  0.1836E-04
      3215 -0.6562E-02  0.5869E-01  0.1978E-04
      3216 -0.6666E-02  0.6533E-01  0.2058E-04
      3217 -0.6738E-02  0.7205E-01  0.2192E-04
      3218 -0.6783E-02  0.7883E-01  0.2282E-04
      3219 -0.6807E-02  0.8564E-01  0.2413E-04
      3220 -0.6817E-02  0.9246E-01  0.2525E-04
      3221 -0.6819E-02  0.9928E-01  0.2582E-04
      4001  0.0000E+00  0.0000E+00  0.0000E+00
      4002  0.7541E-03  0.5247E-03 -0.1046E-03
      4003  0.1553E-02  0.1711E-02 -0.1245E-03
      4004  0.2284E-02  0.3691E-02 -0.1115E-03
      4005  0.2956E-02  0.6356E-02 -0.1053E-03
      4006  0.3561E-02  0.9665E-02 -0.9642E-04
      4007  0.4110E-02  0.1355E-01 -0.8937E-04
      4008  0.4601E-02  0.1795E-01 -0.8105E-04
      4009  0.5035E-02  0.2281E-01 -0.7437E-04
      4010  0.5413E-02  0.2808E-01 -0.6668E-04
      4011  0.5739E-02  0.3370E-01 -0.6046E-04
      4012  0.6013E-02  0.3962E-01 -0.5362E-04
      4013  0.6240E-02  0.4578E-01 -0.4810E-04
      4014  0.6422E-02  0.5215E-01 -0.4238E-04
      4015  0.6562E-02  0.5867E-01 -0.3785E-04
      4016  0.6666E-02  0.6531E-01 -0.3359E-04
      4017  0.6738E-02  0.7204E-01 -0.3030E-04
      4018  0.6783E-02  0.7882E-01 -0.2782E-04
      4019  0.6807E-02  0.8563E-01 -0.2612E-04
      4020  0.6817E-02  0.9245E-01 -0.2595E-04
      4021  0.6819E-02  0.9927E-01 -0.2545E-04
      4101  0.0000E+00  0.0000E+00  0.0000E+00
      4102 -0.4704E-12  0.3698E-03  0.6006E-12
      4103 -0.1039E-11  0.1618E-02  0.2254E-11
      4104 -0.1528E-11  0.3582E-02  0.4989E-11
      4105 -0.1985E-11  0.6264E-02  0.8713E-11
      4106 -0.2386E-11  0.9578E-02  0.1334E-10
      4107 -0.2744E-11  0.1347E-01  0.1877E-10
      4108 -0.3056E-11  0.1788E-01  0.2489E-10
      4109 -0.3333E-11  0.2275E-01  0.3162E-10
      4110 -0.3568E-11  0.2803E-01  0.3892E-10
      4111 -0.3773E-11  0.3366E-01  0.4669E-10
      4112 -0.3943E-11  0.3958E-01  0.5489E-10
      4113 -0.4082E-11  0.4575E-01  0.6344E-10
      4114 -0.4192E-11  0.5212E-01  0.7229E-10
      4115 -0.4275E-11  0.5865E-01  0.8137E-10
      4116 -0.4329E-11  0.6530E-01  0.9063E-10
      4117 -0.4362E-11  0.7203E-01  0.1000E-09
      4118 -0.4367E-11  0.7881E-01  0.1094E-09
      4119 -0.4363E-11  0.8562E-01  0.1189E-09
      4120 -0.4357E-11  0.9245E-01  0.1283E-09
      4121 -0.4356E-11  0.9927E-01  0.1377E-09
      4201  0.0000E+00  0.0000E+00  0.0000E+00
      4202 -0.7541E-03  0.5247E-03  0.1046E-03
      4203 -0.1553E-02  0.1711E-02  0.1245E-03
      4204 -0.2284E-02  0.3691E-02  0.1115E-03
      4205 -0.2956E-02  0.6356E-02  0.1053E-03
      4206 -0.3561E-02  0.9665E-02  0.9642E-04
      4207 -0.4110E-02  0.1355E-01  0.8937E-04
      4208 -0.4601E-02  0.1795E-01  0.8105E-04
      4209 -0.5035E-02  0.2281E-01  0.7437E-04
      4210 -0.5413E-02  0.2808E-01  0.6668E-04
      4211 -0.5739E-02  0.3370E-01  0.6046E-04
      4212 -0.6013E-02  0.3962E-01  0.5362E-04
      4213 -0.6240E-02  0.4578E-01  0.4810E-04
      4214 -0.6422E-02  0.5215E-01  0.4238E-04
      4215 -0.6562E-02  0.5867E-01  0.3785E-04
      4216 -0.6666E-02  0.6531E-01  0.3359E-04
      4217 -0.6738E-02  0.7204E-01  0.3030E-04
      4218 -0.6783E-02  0.7882E-01  0.2782E-04
      4219 -0.6807E-02  0.8563E-01  0.2612E-04
      4220 -0.6817E-02  0.9245E-01  0.2595E-04
      4221 -0.6819E-02  0.9927E-01  0.2545E-04
      5001  0.0000E+00  0.0000E+00  0.0000E+00
      5002  0.7943E-03  0.4359E-03 -0.2251E-03
      5003  0.1544E-02  0.1614E-02 -0.2380E-03
      5004  0.2279E-02  0.3605E-02 -0.2172E-03
      5005  0.2951E-02  0.6280E-02 -0.2008E-03
      5006  0.3557E-02  0.9595E-02 -0.1830E-03
      5007  0.4106E-02  0.1348E-01 -0.1672E-03
      5008  0.4597E-02  0.1789E-01 -0.1503E-03
      5009  0.5031E-02  0.2276E-01 -0.1352E-03
      5010  0.5410E-02  0.2804E-01 -0.1193E-03
      5011  0.5736E-02  0.3366E-01 -0.1052E-03
      5012  0.6010E-02  0.3958E-01 -0.9099E-04
      5013  0.6237E-02  0.4575E-01 -0.7838E-04
      5014  0.6419E-02  0.5212E-01 -0.6632E-04
      5015  0.6560E-02  0.5865E-01 -0.5575E-04
      5016  0.6664E-02  0.6529E-01 -0.4649E-04
      5017  0.6737E-02  0.7202E-01 -0.3853E-04
      5018  0.6781E-02  0.7880E-01 -0.3270E-04
      5019  0.6806E-02  0.8562E-01 -0.2796E-04
      5020  0.6816E-02  0.9243E-01 -0.2663E-04
      5021  0.6819E-02  0.9926E-01 -0.2497E-04
      5051  0.0000E+00  0.0000E+00  0.0000E+00
      5053  0.7654E-03  0.1536E-02 -0.1171E-03
      5055  0.1466E-02  0.6209E-02 -0.1001E-03
      5057  0.2044E-02  0.1343E-01 -0.8373E-04
      5059  0.2507E-02  0.2272E-01 -0.6767E-04
      5061  0.2860E-02  0.3363E-01 -0.5275E-04
      5063  0.3112E-02  0.4573E-01 -0.3937E-04
      5065  0.3274E-02  0.5863E-01 -0.2809E-04
      5067  0.3364E-02  0.7202E-01 -0.1952E-04
      5069  0.3401E-02  0.8561E-01 -0.1433E-04
      5071  0.3409E-02  0.9926E-01 -0.1258E-04
      5101  0.0000E+00  0.0000E+00  0.0000E+00
      5102 -0.1048E-11  0.3190E-03  0.7271E-12
      5103 -0.2117E-11  0.1519E-02  0.2372E-11
      5104 -0.3123E-11  0.3502E-02  0.5097E-11
      5105 -0.4063E-11  0.6187E-02  0.8808E-11
      5106 -0.4878E-11  0.9508E-02  0.1343E-10
      5107 -0.5617E-11  0.1341E-01  0.1884E-10
      5108 -0.6253E-11  0.1782E-01  0.2496E-10
      5109 -0.6828E-11  0.2270E-01  0.3167E-10
      5110 -0.7320E-11  0.2798E-01  0.3897E-10
      5111 -0.7759E-11  0.3361E-01  0.4673E-10
      5112 -0.8116E-11  0.3954E-01  0.5493E-10
      5113 -0.8421E-11  0.4572E-01  0.6347E-10
      5114 -0.8658E-11  0.5210E-01  0.7231E-10
      5115 -0.8852E-11  0.5863E-01  0.8138E-10
      5116 -0.8975E-11  0.6528E-01  0.9064E-10
      5117 -0.9058E-11  0.7201E-01  0.1000E-09
      5118 -0.9077E-11  0.7880E-01  0.1094E-09
      5119 -0.9074E-11  0.8561E-01  0.1189E-09
      5120 -0.9063E-11  0.9243E-01  0.1283E-09
      5121 -0.9058E-11  0.9926E-01  0.1377E-09
      5151  0.0000E+00  0.0000E+00  0.0000E+00
      5153 -0.7654E-03  0.1536E-02  0.1171E-03
      5155 -0.1466E-02  0.6209E-02  0.1001E-03
      5157 -0.2044E-02  0.1343E-01  0.8373E-04
      5159 -0.2507E-02  0.2272E-01  0.6767E-04
      5161 -0.2860E-02  0.3363E-01  0.5275E-04
      5163 -0.3112E-02  0.4573E-01  0.3937E-04
      5165 -0.3274E-02  0.5863E-01  0.2810E-04
      5167 -0.3364E-02  0.7202E-01  0.1952E-04
      5169 -0.3401E-02  0.8561E-01  0.1433E-04
      5171 -0.3409E-02  0.9926E-01  0.1258E-04
      5201  0.0000E+00  0.0000E+00  0.0000E+00
      5202 -0.7943E-03  0.4359E-03  0.2251E-03
      5203 -0.1544E-02  0.1614E-02  0.2380E-03
      5204 -0.2279E-02  0.3605E-02  0.2172E-03
      5205 -0.2951E-02  0.6280E-02  0.2008E-03
      5206 -0.3557E-02  0.9595E-02  0.1830E-03
      5207 -0.4106E-02  0.1348E-01  0.1672E-03
      5208 -0.4597E-02  0.1789E-01  0.1503E-03
      5209 -0.5031E-02  0.2276E-01  0.1352E-03
      5210 -0.5410E-02  0.2804E-01  0.1193E-03
      5211 -0.5736E-02  0.3366E-01  0.1052E-03
      5212 -0.6010E-02  0.3958E-01  0.9099E-04
      5213 -0.6237E-02  0.4575E-01  0.7838E-04
      5214 -0.6419E-02  0.5212E-01  0.6632E-04
      5215 -0.6560E-02  0.5865E-01  0.5575E-04
      5216 -0.6664E-02  0.6529E-01  0.4649E-04
      5217 -0.6737E-02  0.7202E-01  0.3853E-04
      5218 -0.6781E-02  0.7880E-01  0.3270E-04
      5219 -0.6806E-02  0.8562E-01  0.2796E-04
      5220 -0.6816E-02  0.9243E-01  0.2663E-04
      5221 -0.6819E-02  0.9926E-01  0.2497E-04
 #### REACTION FORCE 3D
    NODE     X-REAC      Y-REAC      Z-REAC
---------+-----------+-----------+------------
      1001  1.2054E-02 -5.8867E-02 -4.2552E-02
      1051 -2.7013E-01  1.0983E-01 -9.4418E-02
      1101  3.9058E-11 -6.8350E-02 -2.2075E-10
      1151  2.7013E-01  1.0983E-01  9.4418E-02
      1201 -1.2054E-02 -5.8867E-02  4.2552E-02
      2001 -3.7030E-01 -7.1005E-02 -1.2577E-02
      2101 -6.3282E-10  4.1414E-02  3.1452E-10
      2201  3.7030E-01 -7.1005E-02  1.2577E-02
      3001  4.1541E-02 -1.5362E-01  2.9060E-03
      3051 -4.5124E-01  2.4395E-01 -9.1646E-03
      3101 -4.5878E-11 -2.1418E-01 -1.9079E-10
      3151  4.5124E-01  2.4395E-01  9.1646E-03
      3201 -4.1541E-02 -1.5362E-01 -2.9060E-03
      4001 -3.8219E-01 -7.8160E-02  1.4246E-02
      4101  7.2996E-10  5.9099E-02  3.1041E-10
      4201  3.8219E-01 -7.8160E-02 -1.4246E-02
      5001  1.8608E-02 -9.4202E-02  4.8740E-02
      5051 -2.5573E-01  1.7775E-01  7.7954E-02
      5101 -1.0408E-10 -1.2926E-01 -1.9716E-10
      5151  2.5573E-01  1.7775E-01 -7.7954E-02
      5201 -1.8608E-02 -9.4202E-02 -4.8740E-02
 #### NODAL STRESS 3D
 #### STRAIN
     NODE     E11         E22         E33         E12         E23         E13     
  -------+-----------+-----------+-----------+-----------+-----------+-------------
      1001  7.5854E-04 -2.1576E-04 -1.4404E-04  9.7542E-05 -2.5600E-05  9.4725E-05
      1002  7.5854E-04 -2.1576E-04 -1.4404E-04  9.7542E-05 -2.5600E-05  9.4725E-05
      1003  7.5596E-04 -2.2537E-04 -1.9056E-04  1.1103E-04 -1.0663E-05  2.8652E-05
      1004  7.1543E-04 -2.0216E-04 -2.1740E-04  1.0302E-04  1.3881E-06 -1.2693E-05
      1005  6.6275E-04 -1.9390E-04 -2.0041E-04  1.0156E-04  1.7070E-07 -7.6976E-06
      1006  5.9519E-04 -1.7509E-04 -1.8028E-04  1.0726E-04  4.0627E-07 -2.7869E-06
      1007  5.4516E-04 -1.6228E-04 -1.6404E-04  1.0273E-04  6.8899E-08 -3.3975E-06
      1008  4.8104E-04 -1.4377E-04 -1.4414E-04  1.0294E-04  2.9299E-07 -2.9517E-06
      1009  4.3165E-04 -1.2935E-04 -1.2942E-04  9.8108E-05  1.5854E-07 -3.3748E-06
      1010  3.6995E-04 -1.1113E-04 -1.1102E-04  9.6985E-05  2.7465E-07 -2.8286E-06
      1011  3.2394E-04 -9.7377E-05 -9.7090E-05  9.1083E-05  1.2992E-07 -3.1693E-06
      1012  2.6687E-04 -8.0396E-05 -7.9967E-05  8.7971E-05  2.3593E-07 -2.6244E-06
      1013  2.2583E-04 -6.8072E-05 -6.7581E-05  8.0992E-05  1.4287E-07 -2.8993E-06
      1014  1.7537E-04 -5.3074E-05 -5.2439E-05  7.5644E-05  2.0996E-07 -2.3148E-06
      1015  1.4098E-04 -4.2727E-05 -4.2062E-05  6.7578E-05  1.5181E-07 -2.5316E-06
      1016  9.9287E-05 -3.0360E-05 -2.9524E-05  5.9784E-05  1.7297E-07 -1.9137E-06
      1017  7.3349E-05 -2.2545E-05 -2.1698E-05  5.0643E-05  1.6411E-07 -2.0730E-06
      1018  4.2680E-05 -1.3509E-05 -1.2439E-05  4.0217E-05  1.4628E-07 -1.4444E-06
      1019  2.7005E-05 -8.7016E-06 -7.7429E-06  3.0107E-05  1.5835E-07 -1.5133E-06
      1020  9.5947E-06 -3.4883E-06 -2.4717E-06  1.7007E-05 -3.0291E-09 -8.1196E-07
      1021  6.9888E-06 -2.7784E-06 -1.6336E-06  1.3823E-05 -5.6709E-08 -1.0096E-06
      1051  7.5854E-04 -2.1576E-04 -1.4404E-04  9.7542E-05 -2.5600E-05  9.4725E-05
      1053  7.5596E-04 -2.2537E-04 -1.9056E-04  1.1103E-04 -1.0663E-05  2.8652E-05
      1055  6.6275E-04 -1.9390E-04 -2.0041E-04  1.0156E-04  1.7070E-07 -7.6976E-06
      1057  5.4516E-04 -1.6228E-04 -1.6404E-04  1.0273E-04  6.8899E-08 -3.3975E-06
      1059  4.3165E-04 -1.2935E-04 -1.2942E-04  9.8108E-05  1.5854E-07 -3.3748E-06
      1061  3.2394E-04 -9.7377E-05 -9.7090E-05  9.1083E-05  1.2992E-07 -3.1693E-06
      1063  2.2583E-04 -6.8072E-05 -6.7581E-05  8.0992E-05  1.4287E-07 -2.8993E-06
      1065  1.4098E-04 -4.2727E-05 -4.2062E-05  6.7578E-05  1.5181E-07 -2.5316E-06
      1067  7.3349E-05 -2.2545E-05 -2.1698E-05  5.0643E-05  1.6411E-07 -2.0730E-06
      1069  2.7005E-05 -8.7016E-06 -7.7429E-06  3.0107E-05  1.5835E-07 -1.5133E-06
      1071  6.9888E-06 -2.7784E-06 -1.6336E-06  1.3823E-05 -5.6709E-08 -1.0096E-06
      1101  1.4364E-12 -3.4964E-13 -3.3962E-13  9.7542E-05 -2.5600E-05  1.3523E-13
      1102  1.4364E-12 -3.4964E-13 -3.3962E-13  9.7542E-05 -2.5600E-05  1.3523E-13
