 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.510280E+09   0.225894E+05   0.359521E+04
    2   0.510935E+09   0.226039E+05   0.359752E+04
    3   0.183397E+11   0.135424E+06   0.215534E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      1218  0.5976E-02 -0.2238E-02  0.6740E-01
      1219  0.5998E-02 -0.2425E-02  0.7322E-01
      1220  0.6006E-02 -0.2614E-02  0.7904E-01
      1221  0.6008E-02 -0.2803E-02  0.8486E-01
      2001  0.0000E+00  0.0000E+00  0.0000E+00
      2002  0.3369E-03  0.7710E-04  0.3165E-03
      2003  0.6268E-03  0.4750E-04  0.1352E-02
      2004  0.9071E-03 -0.1867E-04  0.3068E-02
      2005  0.1175E-02 -0.9949E-04  0.5376E-02
      2006  0.1415E-02 -0.2053E-03  0.8218E-02
      2007  0.1634E-02 -0.3201E-03  0.1156E-01
      2008  0.1827E-02 -0.4564E-03  0.1533E-01
      2009  0.2001E-02 -0.5983E-03  0.1951E-01
      2010  0.2151E-02 -0.7581E-03  0.2402E-01
      2011  0.2282E-02 -0.9207E-03  0.2883E-01
      2012  0.2390E-02 -0.1097E-02  0.3389E-01
      2013  0.2481E-02 -0.1275E-02  0.3916E-01
      2014  0.2553E-02 -0.1462E-02  0.4460E-01
      2015  0.2610E-02 -0.1649E-02  0.5018E-01
      2016  0.2651E-02 -0.1843E-02  0.5585E-01
      2017  0.2682E-02 -0.2034E-02  0.6160E-01
      2018  0.2700E-02 -0.2229E-02  0.6739E-01
      2019  0.2711E-02 -0.2421E-02  0.7320E-01
      2020  0.2715E-02 -0.2614E-02  0.7902E-01
      2021  0.2717E-02 -0.2806E-02  0.8485E-01
      2051  0.8883E-04 -0.1089E-04 -0.2928E-04
      2052  0.3303E-03  0.2837E-04  0.3703E-03
      2053  0.6457E-03  0.4352E-05  0.1430E-02
      2054  0.9427E-03 -0.5963E-04  0.3140E-02
      2055  0.1219E-02 -0.1391E-03  0.5442E-02
      2056  0.1468E-02 -0.2389E-03  0.8280E-02
      2057  0.1695E-02 -0.3527E-03  0.1161E-01
      2058  0.1895E-02 -0.4831E-03  0.1538E-01
      2059  0.2075E-02 -0.6240E-03  0.1955E-01
      2060  0.2229E-02 -0.7782E-03  0.2406E-01
      2061  0.2365E-02 -0.9398E-03  0.2886E-01
      2062  0.2476E-02 -0.1111E-02  0.3392E-01
      2063  0.2571E-02 -0.1288E-02  0.3919E-01
      2064  0.2645E-02 -0.1471E-02  0.4462E-01
      2065  0.2704E-02 -0.1657E-02  0.5020E-01
      2066  0.2746E-02 -0.1847E-02  0.5587E-01
      2067  0.2777E-02 -0.2038E-02  0.6161E-01
      2068  0.2796E-02 -0.2230E-02  0.6740E-01
      2069  0.2807E-02 -0.2422E-02  0.7321E-01
      2070  0.2811E-02 -0.2615E-02  0.7903E-01
      2071  0.2813E-02 -0.2806E-02  0.8485E-01
      2101  0.0000E+00  0.0000E+00  0.0000E+00
      2102  0.3292E-03 -0.1123E-04  0.3885E-03
      2103  0.6694E-03 -0.4622E-04  0.1467E-02
      2104  0.9766E-03 -0.1025E-03  0.3171E-02
      2105  0.1261E-02 -0.1795E-03  0.5468E-02
      2106  0.1519E-02 -0.2746E-03  0.8304E-02
      2107  0.1753E-02 -0.3859E-03  0.1164E-01
      2108  0.1961E-02 -0.5114E-03  0.1540E-01
      2109  0.2146E-02 -0.6500E-03  0.1957E-01
      2110  0.2307E-02 -0.7996E-03  0.2407E-01
      2111  0.2445E-02 -0.9592E-03  0.2888E-01
      2112  0.2562E-02 -0.1127E-02  0.3393E-01
      2113  0.2659E-02 -0.1301E-02  0.3920E-01
      2114  0.2736E-02 -0.1481E-02  0.4463E-01
      2115  0.2796E-02 -0.1665E-02  0.5020E-01
      2116  0.2841E-02 -0.1852E-02  0.5587E-01
