 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 19
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513275E+09   0.226556E+05   0.360575E+04
    2   0.513275E+09   0.226556E+05   0.360575E+04
    3   0.181452E+11   0.134704E+06   0.214388E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      2107 -0.2983E-03  0.1445E-01 -0.1967E-02
      2109 -0.3658E-03  0.2442E-01 -0.3318E-02
      2111 -0.4173E-03  0.3613E-01 -0.4906E-02
      2113 -0.4540E-03  0.4912E-01 -0.6668E-02
      2115 -0.4777E-03  0.6298E-01 -0.8548E-02
      2117 -0.4907E-03  0.7735E-01 -0.1050E-01
      2119 -0.4961E-03  0.9196E-01 -0.1248E-01
      2121 -0.4972E-03  0.1066E+00 -0.1447E-01
      2201  0.0000E+00  0.0000E+00  0.0000E+00
      2203 -0.1782E-02  0.1858E-02 -0.3392E-03
      2205 -0.3385E-02  0.6829E-02 -0.1008E-02
      2207 -0.4710E-02  0.1455E-01 -0.2039E-02
      2209 -0.5773E-02  0.2449E-01 -0.3375E-02
      2211 -0.6581E-02  0.3618E-01 -0.4947E-02
      2213 -0.7157E-02  0.4916E-01 -0.6696E-02
      2215 -0.7528E-02  0.6300E-01 -0.8565E-02
      2217 -0.7731E-02  0.7736E-01 -0.1051E-01
      2219 -0.7811E-02  0.9197E-01 -0.1248E-01
      2221 -0.7826E-02  0.1066E+00 -0.1447E-01
      3001  0.0000E+00  0.0000E+00  0.0000E+00
      3002  0.7980E-03  0.5852E-03 -0.4480E-04
      3003  0.1680E-02  0.1865E-02 -0.2225E-03
      3004  0.2453E-02  0.3984E-02 -0.5099E-03
      3005  0.3171E-02  0.6843E-02 -0.9011E-03
      3006  0.3821E-02  0.1039E-01 -0.1385E-02
      3007  0.4412E-02  0.1456E-01 -0.1953E-02
      3008  0.4939E-02  0.1928E-01 -0.2596E-02
      3009  0.5407E-02  0.2450E-01 -0.3307E-02
      3010  0.5813E-02  0.3015E-01 -0.4077E-02
      3011  0.6165E-02  0.3619E-01 -0.4898E-02
      3012  0.6459E-02  0.4254E-01 -0.5762E-02
      3013  0.6704E-02  0.4916E-01 -0.6662E-02
      3014  0.6898E-02  0.5600E-01 -0.7592E-02
      3015  0.7051E-02  0.6301E-01 -0.8545E-02
      3016  0.7162E-02  0.7014E-01 -0.9514E-02
      3017  0.7240E-02  0.7737E-01 -0.1050E-01
      3018  0.7288E-02  0.8465E-01 -0.1149E-01
      3019  0.7315E-02  0.9197E-01 -0.1248E-01
      3020  0.7326E-02  0.9929E-01 -0.1347E-01
      3021  0.7329E-02  0.1066E+00 -0.1447E-01
      3051  0.0000E+00  0.0000E+00  0.0000E+00
      3053  0.8278E-03  0.1768E-02 -0.2354E-03
      3055  0.1577E-02  0.6770E-02 -0.9112E-03
      3057  0.2198E-02  0.1449E-01 -0.1961E-02
      3059  0.2696E-02  0.2445E-01 -0.3313E-02
      3061  0.3075E-02  0.3615E-01 -0.4903E-02
      3063  0.3346E-02  0.4914E-01 -0.6666E-02
      3065  0.3520E-02  0.6299E-01 -0.8547E-02
      3067  0.3616E-02  0.7736E-01 -0.1050E-01
      3069  0.3656E-02  0.9196E-01 -0.1248E-01
      3071  0.3664E-02  0.1066E+00 -0.1447E-01
